season,week,gameday,player_id,player_name,position,team,home_team,away_team,roof,temp,wind,passing_yards,passing_tds,interceptions,rushing_yards,rushing_tds,receptions,receiving_yards,receiving_tds,targets,carries,rushing_attempts,fumbles_lost,injury_status,injury_type,spread_line,total_line,game_id,fantasy_points
2022,1,2022-09-01,p_qb_kc,Patrick Demo,QB,KC,CHI,KC,outdoors,59.57075619631647,2.800079468797522,295.0,1,3,0.0,0,0,0.0,0,0,0,4,0,,,4.5,48.3,2022_1_KC_CHI,9.8
2022,1,2022-09-01,p_rb_kc,Isiah Demo,RB,KC,CHI,KC,outdoors,60.53126176123748,3.205586995855006,0.0,0,0,100.7,0,2,11.4,0,3,11,11,0,,,2.1,47.8,2022_1_KC_CHI,12.21
2022,1,2022-09-01,p_wr_kc,Rashee Demo,WR,KC,CHI,KC,outdoors,61.46231504511824,18.708238004352307,0.0,0,0,0.0,0,3,40.6,0,6,1,1,0,,,-3.4,41.9,2022_1_KC_CHI,5.5600000000000005
2022,1,2022-09-01,p_te_kc,Travis Demo,TE,KC,CHI,KC,outdoors,66.14881256805164,10.715771341525976,0.0,0,0,0.0,0,2,50.8,0,2,0,0,0,,,3.5,47.1,2022_1_KC_CHI,6.08
2022,1,2022-09-01,p_qb_buf,Josh Demo,QB,BUF,BUF,SF,outdoors,56.01368604233337,9.445596993449922,287.9,3,0,44.9,0,0,0.0,0,0,0,4,0,,,-1.3,46.8,2022_1_SF_BUF,28.006
2022,1,2022-09-01,p_rb_buf,James Demo,RB,BUF,BUF,SF,outdoors,65.66839869689282,11.966736175999626,0.0,0,0,57.8,0,4,21.2,0,4,9,9,0,,,0.6,49.5,2022_1_SF_BUF,9.9
2022,1,2022-09-01,p_wr_buf,Stefon Demo,WR,BUF,BUF,SF,outdoors,57.37809536615072,11.127951969836683,0.0,0,0,0.5,0,5,45.1,1,5,0,0,0,,,1.9,43.7,2022_1_SF_BUF,13.06
2022,1,2022-09-01,p_qb_sf,Brock Demo,QB,SF,BUF,SF,outdoors,62.211199883588634,10.232655880149721,289.9,1,1,0.0,0,0,0.0,0,0,0,1,0,Questionable,,-3.6,44.1,2022_1_SF_BUF,13.596
2022,1,2022-09-01,p_rb_sf,CMC Demo,RB,SF,BUF,SF,outdoors,49.65604043407861,11.687577842335433,0.0,0,0,37.3,1,1,18.2,0,3,16,16,0,,,-2.4,38.8,2022_1_SF_BUF,12.05
2022,1,2022-09-01,p_wr_sf,Deebo Demo,WR,SF,BUF,SF,outdoors,47.05760936404296,9.16338105677352,0.0,0,0,2.1,0,8,57.8,1,8,1,1,0,,,5.4,50.2,2022_1_SF_BUF,15.99
2022,1,2022-09-01,p_qb_no,Derek Demo,QB,NO,GB,NO,outdoors,76.94954336829343,2.0561847283857455,211.6,2,1,0.0,0,0,0.0,0,0,0,3,0,,,8.0,60.6,2022_1_NO_GB,14.463999999999999
2022,1,2022-09-01,p_wr_no,Chris Demo,WR,NO,GB,NO,outdoors,40.15692819952204,0.0,0.0,0,0,3.3,0,3,52.5,0,4,0,0,0,,,0.6,45.2,2022_1_NO_GB,7.08
2022,1,2022-09-01,p_qb_min,Kirk Demo,QB,MIN,MIN,LAR,dome,,,149.5,1,1,17.6,0,0,0.0,0,0,0,2,0,,,-3.9,42.4,2022_1_LAR_MIN,9.74
